variant,tau,lambda,comparison,n,delta_ba_mean,delta_ba_ci_lo,delta_ba_ci_hi,positive,zero,negative,delta_macro_f1_mean,delta_specificity_mean,decision_pass
3slice,0.70,0.50,pseudolabel_vs_supervised,15,0.023947232367705646,-0.0032016956855289384,0.05005490756491716,10,0,5,0.035145561194320045,0.05316455696202529,False
3slice,0.70,1.00,pseudolabel_vs_supervised,15,0.006552759293540799,-0.018167358262036987,0.03299818215173196,7,0,8,0.024373065975480446,0.0651476793248945,False
3slice,0.80,0.50,pseudolabel_vs_supervised,15,0.01511763896532747,-0.018546802296492707,0.04790281860292525,9,0,6,0.014931294670045414,0.01429324894514767,False
3slice,0.80,1.00,pseudolabel_vs_supervised,15,0.024682210103233754,0.0011702549365420357,0.05044473908040229,10,0,5,0.04337668000875904,0.08599156118143458,False
mid,0.70,0.50,pseudolabel_vs_supervised,15,0.0005144802454928839,-0.02470873255115826,0.02636379479995327,7,0,8,0.019231820415797456,0.06163502109704641,False
mid,0.70,1.00,pseudolabel_vs_supervised,15,0.029813128533546805,-0.0002382407940160843,0.05974698345591299,10,0,5,0.03972201913642957,0.060548523206751054,False
mid,0.80,0.50,pseudolabel_vs_supervised,15,0.01437396807925148,-0.006325378683644429,0.03578015501742796,10,0,5,0.01328111204990527,0.012805907172995764,False
mid,0.80,1.00,pseudolabel_vs_supervised,15,0.012684348993512435,-0.017683985215390025,0.042290450250996474,10,0,5,0.021742711953497418,0.044736286919831204,False
