variant	method	tau	lambda	fold	seed	ba	specificity	roc_auc
mid	pseudolabel	0.70	1.00	3	42	0.6637	0.6456	0.6847
mid	pseudolabel	0.70	1.00	3	43	0.6499	0.7089	0.7745
mid	pseudolabel	0.70	1.00	3	44	0.6651	0.7848	0.7020
mid	pseudolabel	0.70	1.00	4	42	0.6752	0.7595	0.7152
mid	pseudolabel	0.70	1.00	4	43	0.6484	0.5696	0.7687
mid	pseudolabel	0.70	1.00	4	44	0.6436	0.6962	0.6438
mid	pseudolabel	0.80	0.50	0	42	0.6690	0.4250	0.7071
mid	pseudolabel	0.80	0.50	0	43	0.6511	0.6500	0.7326
mid	pseudolabel	0.80	0.50	0	44	0.5796	0.6375	0.6875
mid	pseudolabel	0.80	0.50	1	42	0.6549	0.8750	0.7215
mid	pseudolabel	0.80	0.50	1	43	0.6696	0.6000	0.7258
mid	pseudolabel	0.80	0.50	1	44	0.6758	0.6125	0.7057
mid	pseudolabel	0.80	0.50	2	42	0.6824	0.5823	0.7105
mid	pseudolabel	0.80	0.50	2	43	0.6390	0.5823	0.6802
mid	pseudolabel	0.80	0.50	2	44	0.6299	0.6076	0.6604
mid	pseudolabel	0.80	0.50	3	42	0.7017	0.7215	0.7175
mid	pseudolabel	0.80	0.50	3	43	0.6398	0.7342	0.6939
mid	pseudolabel	0.80	0.50	3	44	0.6677	0.8354	0.6709
mid	pseudolabel	0.80	0.50	4	42	0.4917	0.3924	0.5207
mid	pseudolabel	0.80	0.50	4	43	0.6090	0.3544	0.7106
mid	pseudolabel	0.80	0.50	4	44	0.6249	0.8861	0.6841
mid	pseudolabel	0.80	1.00	0	42	0.6326	0.7000	0.7098
mid	pseudolabel	0.80	1.00	0	43	0.5984	0.6750	0.6870
mid	pseudolabel	0.80	1.00	0	44	0.6568	0.4875	0.7386
mid	pseudolabel	0.80	1.00	1	42	0.7226	0.6625	0.7432
mid	pseudolabel	0.80	1.00	1	43	0.6726	0.5625	0.7101
mid	pseudolabel	0.80	1.00	1	44	0.6766	0.8750	0.7552
mid	pseudolabel	0.80	1.00	2	42	0.6824	0.5823	0.7105
mid	pseudolabel	0.80	1.00	2	43	0.6442	0.8101	0.6665
mid	pseudolabel	0.80	1.00	2	44	0.6624	0.7595	0.6968
mid	pseudolabel	0.80	1.00	3	42	0.6306	0.4430	0.7077
mid	pseudolabel	0.80	1.00	3	43	0.6648	0.5570	0.7094
mid	pseudolabel	0.80	1.00	3	44	0.6413	0.8734	0.6519
mid	pseudolabel	0.80	1.00	4	42	0.6436	0.6962	0.7146
mid	pseudolabel	0.80	1.00	4	43	0.6085	0.8987	0.6669
mid	pseudolabel	0.80	1.00	4	44	0.4235	0.3924	0.4919
3slice	supervised	-	-	0	42	0.6481	0.6875	0.6853
3slice	supervised	-	-	0	43	0.6353	0.5750	0.6940
3slice	supervised	-	-	0	44	0.6446	0.5500	0.6908
3slice	supervised	-	-	1	42	0.6361	0.8375	0.6834
3slice	supervised	-	-	1	43	0.6946	0.6500	0.7242
3slice	supervised	-	-	1	44	0.6636	0.6750	0.7383
3slice	supervised	-	-	2	42	0.6299	0.6076	0.6092
3slice	supervised	-	-	2	43	0.5355	0.8101	0.5878
3slice	supervised	-	-	2	44	0.6461	0.6835	0.6709
3slice	supervised	-	-	3	42	0.6752	0.7595	0.7020
3slice	supervised	-	-	3	43	0.6484	0.5696	0.6410
3slice	supervised	-	-	3	44	0.6395	0.5063	0.7549
3slice	supervised	-	-	4	42	0.5285	0.5570	0.6738
3slice	supervised	-	-	4	43	0.5978	0.4684	0.6565
3slice	supervised	-	-	4	44	0.5472	0.3671	0.6007
drr	supervised	-	-	0	42	0.6481	0.6875	0.6853
drr	supervised	-	-	0	43	0.6353	0.5750	0.6940
drr	supervised	-	-	0	44	0.6446	0.5500	0.6908
drr	supervised	-	-	1	42	0.6361	0.8375	0.6834
drr	supervised	-	-	1	43	0.6946	0.6500	0.7242
drr	supervised	-	-	1	44	0.6636	0.6750	0.7383
drr	supervised	-	-	2	42	0.6299	0.6076	0.6092
drr	supervised	-	-	2	43	0.5355	0.8101	0.5878
