temperature,gate_threshold,n_runs,mean_ba,mean_delta_vs_sup,ci95_lo,ci95_hi,pos_runs,zero_runs,neg_runs,mean_gate_active_fraction
2.0,0.5,15,0.5846508563899868,0.01890645586297758,-0.03781291172595522,0.08063241106719364,9,0,6,0.8666575325782487
2.0,0.55,15,0.5849802371541502,0.019235836627140946,-0.0451910408432148,0.0804347826086956,8,1,6,0.8405340397028376
2.0,0.6,15,0.5792490118577075,0.013504611330698269,-0.04993412384716733,0.07351778656126483,8,2,5,0.8380385599055675
4.0,0.5,15,0.5992753623188406,0.033530961791831335,-0.003886693017127855,0.07266139657444004,9,2,4,0.8846809626860778
4.0,0.6,15,0.5889986824769433,0.023254281949934088,-0.02154150197628461,0.06666666666666664,8,1,6,0.8133677383997078
8.0,0.5,15,0.5806324110671937,0.01488801054018442,-0.03491436100131755,0.06501976284584975,9,0,6,0.8698087930824504
8.0,0.55,15,0.585046113306983,0.019301712779973654,-0.0362977602108037,0.07839262187088276,9,0,6,0.8639009115351827
8.0,0.6,15,0.5861660079051383,0.020421607378129092,-0.02496706192358367,0.06633728590250325,8,1,6,0.8380385599055675
