name,role,seed,resample,support,balanced_accuracy
bimcv_resnet18_tier_b_full_at_kd_s44,tier_b_full_at_kd,44,4,20,0.9166666666666667
bimcv_resnet18_tier_b_full_at_kd_s44,tier_b_full_at_kd,44,5,15,0.9583333333333333
bimcv_resnet18_tier_b_full_at_kd_s44,tier_b_full_at_kd,44,6,14,0.9166666666666667
bimcv_resnet18_tier_b_full_at_kd_s44,tier_b_full_at_kd,44,7,18,0.8529411764705883
bimcv_resnet18_tier_b_full_at_kd_s44,tier_b_full_at_kd,44,8,17,0.65
bimcv_resnet18_tier_b_full_at_kd_s44,tier_b_full_at_kd,44,9,21,0.5657894736842105
bimcv_resnet18_tier_b_full_at_kd_s45,tier_b_full_at_kd,45,0,15,0.7083333333333334
bimcv_resnet18_tier_b_full_at_kd_s45,tier_b_full_at_kd,45,1,10,0.3888888888888889
bimcv_resnet18_tier_b_full_at_kd_s45,tier_b_full_at_kd,45,2,12,0.3181818181818182
bimcv_resnet18_tier_b_full_at_kd_s45,tier_b_full_at_kd,45,3,13,0.8333333333333333
bimcv_resnet18_tier_b_full_at_kd_s45,tier_b_full_at_kd,45,4,20,0.6666666666666667
bimcv_resnet18_tier_b_full_at_kd_s45,tier_b_full_at_kd,45,5,15,1.0
bimcv_resnet18_tier_b_full_at_kd_s45,tier_b_full_at_kd,45,6,14,0.9166666666666667
bimcv_resnet18_tier_b_full_at_kd_s45,tier_b_full_at_kd,45,7,18,0.7647058823529411
bimcv_resnet18_tier_b_full_at_kd_s45,tier_b_full_at_kd,45,8,17,0.8333333333333333
bimcv_resnet18_tier_b_full_at_kd_s45,tier_b_full_at_kd,45,9,21,0.21052631578947367
bimcv_resnet18_tier_b_full_at_proto_kd_s42,tier_b_full_at_proto_kd,42,0,15,0.6666666666666666
bimcv_resnet18_tier_b_full_at_proto_kd_s42,tier_b_full_at_proto_kd,42,1,10,1.0
bimcv_resnet18_tier_b_full_at_proto_kd_s42,tier_b_full_at_proto_kd,42,2,12,0.36363636363636365
bimcv_resnet18_tier_b_full_at_proto_kd_s42,tier_b_full_at_proto_kd,42,3,13,0.3333333333333333
bimcv_resnet18_tier_b_full_at_proto_kd_s42,tier_b_full_at_proto_kd,42,4,20,0.6458333333333333
bimcv_resnet18_tier_b_full_at_proto_kd_s42,tier_b_full_at_proto_kd,42,5,15,0.6666666666666666
bimcv_resnet18_tier_b_full_at_proto_kd_s42,tier_b_full_at_proto_kd,42,6,14,0.9166666666666667
bimcv_resnet18_tier_b_full_at_proto_kd_s42,tier_b_full_at_proto_kd,42,7,18,0.29411764705882354
bimcv_resnet18_tier_b_full_at_proto_kd_s42,tier_b_full_at_proto_kd,42,8,17,0.9
bimcv_resnet18_tier_b_full_at_proto_kd_s42,tier_b_full_at_proto_kd,42,9,21,0.3157894736842105
bimcv_resnet18_tier_b_full_at_proto_kd_s43,tier_b_full_at_proto_kd,43,0,15,0.7083333333333334
bimcv_resnet18_tier_b_full_at_proto_kd_s43,tier_b_full_at_proto_kd,43,1,10,0.9444444444444444
bimcv_resnet18_tier_b_full_at_proto_kd_s43,tier_b_full_at_proto_kd,43,2,12,0.8181818181818181
bimcv_resnet18_tier_b_full_at_proto_kd_s43,tier_b_full_at_proto_kd,43,3,13,0.3333333333333333
bimcv_resnet18_tier_b_full_at_proto_kd_s43,tier_b_full_at_proto_kd,43,4,20,0.7708333333333333
bimcv_resnet18_tier_b_full_at_proto_kd_s43,tier_b_full_at_proto_kd,43,5,15,0.9166666666666667
bimcv_resnet18_tier_b_full_at_proto_kd_s43,tier_b_full_at_proto_kd,43,6,14,0.875
bimcv_resnet18_tier_b_full_at_proto_kd_s43,tier_b_full_at_proto_kd,43,7,18,0.7941176470588236
bimcv_resnet18_tier_b_full_at_proto_kd_s43,tier_b_full_at_proto_kd,43,8,17,0.8666666666666667
bimcv_resnet18_tier_b_full_at_proto_kd_s43,tier_b_full_at_proto_kd,43,9,21,0.7368421052631579
bimcv_resnet18_tier_b_full_at_proto_kd_s44,tier_b_full_at_proto_kd,44,0,15,0.7083333333333333
bimcv_resnet18_tier_b_full_at_proto_kd_s44,tier_b_full_at_proto_kd,44,1,10,0.5
bimcv_resnet18_tier_b_full_at_proto_kd_s44,tier_b_full_at_proto_kd,44,2,12,0.4090909090909091
bimcv_resnet18_tier_b_full_at_proto_kd_s44,tier_b_full_at_proto_kd,44,3,13,0.4583333333333333
bimcv_resnet18_tier_b_full_at_proto_kd_s44,tier_b_full_at_proto_kd,44,4,20,0.7083333333333333
bimcv_resnet18_tier_b_full_at_proto_kd_s44,tier_b_full_at_proto_kd,44,5,15,0.8333333333333333
bimcv_resnet18_tier_b_full_at_proto_kd_s44,tier_b_full_at_proto_kd,44,6,14,1.0
bimcv_resnet18_tier_b_full_at_proto_kd_s44,tier_b_full_at_proto_kd,44,7,18,0.9117647058823529
bimcv_resnet18_tier_b_full_at_proto_kd_s44,tier_b_full_at_proto_kd,44,8,17,0.75
bimcv_resnet18_tier_b_full_at_proto_kd_s44,tier_b_full_at_proto_kd,44,9,21,0.39473684210526316
bimcv_resnet18_tier_b_full_at_proto_kd_s45,tier_b_full_at_proto_kd,45,0,15,0.7083333333333333
bimcv_resnet18_tier_b_full_at_proto_kd_s45,tier_b_full_at_proto_kd,45,1,10,0.8888888888888888
bimcv_resnet18_tier_b_full_at_proto_kd_s45,tier_b_full_at_proto_kd,45,2,12,0.36363636363636365
bimcv_resnet18_tier_b_full_at_proto_kd_s45,tier_b_full_at_proto_kd,45,3,13,0.4583333333333333
bimcv_resnet18_tier_b_full_at_proto_kd_s45,tier_b_full_at_proto_kd,45,4,20,0.6458333333333333
bimcv_resnet18_tier_b_full_at_proto_kd_s45,tier_b_full_at_proto_kd,45,5,15,0.6666666666666666
bimcv_resnet18_tier_b_full_at_proto_kd_s45,tier_b_full_at_proto_kd,45,6,14,0.4166666666666667
bimcv_resnet18_tier_b_full_at_proto_kd_s45,tier_b_full_at_proto_kd,45,7,18,0.29411764705882354
bimcv_resnet18_tier_b_full_at_proto_kd_s45,tier_b_full_at_proto_kd,45,8,17,0.6833333333333333
bimcv_resnet18_tier_b_full_at_proto_kd_s45,tier_b_full_at_proto_kd,45,9,21,0.34210526315789475
bimcv_resnet18_tier_b_full_logit_kd_s42,tier_b_full_logit_kd,42,0,15,0.5833333333333333
bimcv_resnet18_tier_b_full_logit_kd_s42,tier_b_full_logit_kd,42,1,10,1.0
bimcv_resnet18_tier_b_full_logit_kd_s42,tier_b_full_logit_kd,42,2,12,0.9545454545454546
bimcv_resnet18_tier_b_full_logit_kd_s42,tier_b_full_logit_kd,42,3,13,0.875
bimcv_resnet18_tier_b_full_logit_kd_s42,tier_b_full_logit_kd,42,4,20,0.7083333333333333
bimcv_resnet18_tier_b_full_logit_kd_s42,tier_b_full_logit_kd,42,5,15,0.9583333333333333
bimcv_resnet18_tier_b_full_logit_kd_s42,tier_b_full_logit_kd,42,6,14,0.6666666666666667
bimcv_resnet18_tier_b_full_logit_kd_s42,tier_b_full_logit_kd,42,7,18,0.8235294117647058
bimcv_resnet18_tier_b_full_logit_kd_s42,tier_b_full_logit_kd,42,8,17,0.8333333333333333
bimcv_resnet18_tier_b_full_logit_kd_s42,tier_b_full_logit_kd,42,9,21,0.2631578947368421
bimcv_resnet18_tier_b_full_logit_kd_s43,tier_b_full_logit_kd,43,0,15,0.75
bimcv_resnet18_tier_b_full_logit_kd_s43,tier_b_full_logit_kd,43,1,10,0.9444444444444444
bimcv_resnet18_tier_b_full_logit_kd_s43,tier_b_full_logit_kd,43,2,12,0.36363636363636365
bimcv_resnet18_tier_b_full_logit_kd_s43,tier_b_full_logit_kd,43,3,13,0.8333333333333333
bimcv_resnet18_tier_b_full_logit_kd_s43,tier_b_full_logit_kd,43,4,20,0.8333333333333333
bimcv_resnet18_tier_b_full_logit_kd_s43,tier_b_full_logit_kd,43,5,15,1.0
bimcv_resnet18_tier_b_full_logit_kd_s43,tier_b_full_logit_kd,43,6,14,0.9166666666666667
bimcv_resnet18_tier_b_full_logit_kd_s43,tier_b_full_logit_kd,43,7,18,0.7941176470588236
bimcv_resnet18_tier_b_full_logit_kd_s43,tier_b_full_logit_kd,43,8,17,0.6166666666666667
bimcv_resnet18_tier_b_full_logit_kd_s43,tier_b_full_logit_kd,43,9,21,0.48684210526315785
bimcv_resnet18_tier_b_full_logit_kd_s44,tier_b_full_logit_kd,44,0,15,0.75
bimcv_resnet18_tier_b_full_logit_kd_s44,tier_b_full_logit_kd,44,1,10,0.9444444444444444
bimcv_resnet18_tier_b_full_logit_kd_s44,tier_b_full_logit_kd,44,2,12,0.36363636363636365
bimcv_resnet18_tier_b_full_logit_kd_s44,tier_b_full_logit_kd,44,3,13,0.2916666666666667
bimcv_resnet18_tier_b_full_logit_kd_s44,tier_b_full_logit_kd,44,4,20,0.8333333333333333
bimcv_resnet18_tier_b_full_logit_kd_s44,tier_b_full_logit_kd,44,5,15,0.9583333333333333
bimcv_resnet18_tier_b_full_logit_kd_s44,tier_b_full_logit_kd,44,6,14,0.875
bimcv_resnet18_tier_b_full_logit_kd_s44,tier_b_full_logit_kd,44,7,18,0.7941176470588236
bimcv_resnet18_tier_b_full_logit_kd_s44,tier_b_full_logit_kd,44,8,17,0.8666666666666667
bimcv_resnet18_tier_b_full_logit_kd_s44,tier_b_full_logit_kd,44,9,21,0.48684210526315785
bimcv_resnet18_tier_b_full_logit_kd_s45,tier_b_full_logit_kd,45,0,15,0.75
bimcv_resnet18_tier_b_full_logit_kd_s45,tier_b_full_logit_kd,45,1,10,0.9444444444444444
bimcv_resnet18_tier_b_full_logit_kd_s45,tier_b_full_logit_kd,45,2,12,0.2727272727272727
bimcv_resnet18_tier_b_full_logit_kd_s45,tier_b_full_logit_kd,45,3,13,0.375
bimcv_resnet18_tier_b_full_logit_kd_s45,tier_b_full_logit_kd,45,4,20,0.8125
bimcv_resnet18_tier_b_full_logit_kd_s45,tier_b_full_logit_kd,45,5,15,0.9583333333333333
bimcv_resnet18_tier_b_full_logit_kd_s45,tier_b_full_logit_kd,45,6,14,0.6666666666666667
bimcv_resnet18_tier_b_full_logit_kd_s45,tier_b_full_logit_kd,45,7,18,0.8235294117647058
bimcv_resnet18_tier_b_full_logit_kd_s45,tier_b_full_logit_kd,45,8,17,0.8666666666666667
bimcv_resnet18_tier_b_full_logit_kd_s45,tier_b_full_logit_kd,45,9,21,0.513157894736842
bimcv_resnet18_tier_b_proto_kd_s42,tier_b_proto_kd,42,0,15,0.6666666666666666
bimcv_resnet18_tier_b_proto_kd_s42,tier_b_proto_kd,42,1,10,0.8333333333333333
bimcv_resnet18_tier_b_proto_kd_s42,tier_b_proto_kd,42,2,12,0.2727272727272727
bimcv_resnet18_tier_b_proto_kd_s42,tier_b_proto_kd,42,3,13,0.3333333333333333
bimcv_resnet18_tier_b_proto_kd_s42,tier_b_proto_kd,42,4,20,0.75
bimcv_resnet18_tier_b_proto_kd_s42,tier_b_proto_kd,42,5,15,0.875
bimcv_resnet18_tier_b_proto_kd_s42,tier_b_proto_kd,42,6,14,0.875
bimcv_resnet18_tier_b_proto_kd_s42,tier_b_proto_kd,42,7,18,0.7647058823529411
bimcv_resnet18_tier_b_proto_kd_s42,tier_b_proto_kd,42,8,17,0.8666666666666667
bimcv_resnet18_tier_b_proto_kd_s42,tier_b_proto_kd,42,9,21,0.23684210526315788
bimcv_resnet18_tier_b_proto_kd_s43,tier_b_proto_kd,43,0,15,0.75
bimcv_resnet18_tier_b_proto_kd_s43,tier_b_proto_kd,43,1,10,0.9444444444444444
bimcv_resnet18_tier_b_proto_kd_s43,tier_b_proto_kd,43,2,12,0.8181818181818181
bimcv_resnet18_tier_b_proto_kd_s43,tier_b_proto_kd,43,3,13,0.3333333333333333
bimcv_resnet18_tier_b_proto_kd_s43,tier_b_proto_kd,43,4,20,0.8333333333333333
bimcv_resnet18_tier_b_proto_kd_s43,tier_b_proto_kd,43,5,15,0.9166666666666667
bimcv_resnet18_tier_b_proto_kd_s43,tier_b_proto_kd,43,6,14,0.8333333333333333
bimcv_resnet18_tier_b_proto_kd_s43,tier_b_proto_kd,43,7,18,0.7941176470588236
bimcv_resnet18_tier_b_proto_kd_s43,tier_b_proto_kd,43,8,17,0.36666666666666664
bimcv_resnet18_tier_b_proto_kd_s43,tier_b_proto_kd,43,9,21,0.5394736842105263
bimcv_resnet18_tier_b_proto_kd_s44,tier_b_proto_kd,44,0,15,0.6666666666666666
bimcv_resnet18_tier_b_proto_kd_s44,tier_b_proto_kd,44,1,10,0.4444444444444444
bimcv_resnet18_tier_b_proto_kd_s44,tier_b_proto_kd,44,2,12,0.3181818181818182
bimcv_resnet18_tier_b_proto_kd_s44,tier_b_proto_kd,44,3,13,0.3333333333333333
bimcv_resnet18_tier_b_proto_kd_s44,tier_b_proto_kd,44,4,20,0.7916666666666667
bimcv_resnet18_tier_b_proto_kd_s44,tier_b_proto_kd,44,5,15,0.875
bimcv_resnet18_tier_b_proto_kd_s44,tier_b_proto_kd,44,6,14,0.9166666666666667
bimcv_resnet18_tier_b_proto_kd_s44,tier_b_proto_kd,44,7,18,0.7941176470588236
bimcv_resnet18_tier_b_proto_kd_s44,tier_b_proto_kd,44,8,17,0.8666666666666667
bimcv_resnet18_tier_b_proto_kd_s44,tier_b_proto_kd,44,9,21,0.21052631578947367
bimcv_resnet18_tier_b_proto_kd_s45,tier_b_proto_kd,45,0,15,0.7083333333333334
bimcv_resnet18_tier_b_proto_kd_s45,tier_b_proto_kd,45,1,10,0.9444444444444444
bimcv_resnet18_tier_b_proto_kd_s45,tier_b_proto_kd,45,2,12,0.7727272727272727
bimcv_resnet18_tier_b_proto_kd_s45,tier_b_proto_kd,45,3,13,0.2916666666666667
bimcv_resnet18_tier_b_proto_kd_s45,tier_b_proto_kd,45,4,20,0.8333333333333333
bimcv_resnet18_tier_b_proto_kd_s45,tier_b_proto_kd,45,5,15,0.9166666666666667
bimcv_resnet18_tier_b_proto_kd_s45,tier_b_proto_kd,45,6,14,0.8333333333333333
bimcv_resnet18_tier_b_proto_kd_s45,tier_b_proto_kd,45,7,18,0.7647058823529411
bimcv_resnet18_tier_b_proto_kd_s45,tier_b_proto_kd,45,8,17,0.8666666666666667
bimcv_resnet18_tier_b_proto_kd_s45,tier_b_proto_kd,45,9,21,0.23684210526315788
bimcv_resnet18_tier_b_proto_w1_kd_s42,tier_b_proto_w1_kd,42,0,15,0.7083333333333334
bimcv_resnet18_tier_b_proto_w1_kd_s42,tier_b_proto_w1_kd,42,1,10,0.9444444444444444
bimcv_resnet18_tier_b_proto_w1_kd_s42,tier_b_proto_w1_kd,42,2,12,0.3181818181818182
bimcv_resnet18_tier_b_proto_w1_kd_s42,tier_b_proto_w1_kd,42,3,13,0.2916666666666667
bimcv_resnet18_tier_b_proto_w1_kd_s42,tier_b_proto_w1_kd,42,4,20,0.8333333333333333
bimcv_resnet18_tier_b_proto_w1_kd_s42,tier_b_proto_w1_kd,42,5,15,0.9166666666666667
bimcv_resnet18_tier_b_proto_w1_kd_s42,tier_b_proto_w1_kd,42,6,14,0.875
bimcv_resnet18_tier_b_proto_w1_kd_s42,tier_b_proto_w1_kd,42,7,18,0.7941176470588236
bimcv_resnet18_tier_b_proto_w1_kd_s42,tier_b_proto_w1_kd,42,8,17,0.8666666666666667
bimcv_resnet18_tier_b_proto_w1_kd_s42,tier_b_proto_w1_kd,42,9,21,0.763157894736842
bimcv_resnet18_tier_b_proto_w1_kd_s43,tier_b_proto_w1_kd,43,0,15,0.75
bimcv_resnet18_tier_b_proto_w1_kd_s43,tier_b_proto_w1_kd,43,1,10,0.9444444444444444
bimcv_resnet18_tier_b_proto_w1_kd_s43,tier_b_proto_w1_kd,43,2,12,0.3181818181818182
bimcv_resnet18_tier_b_proto_w1_kd_s43,tier_b_proto_w1_kd,43,3,13,0.7916666666666667
bimcv_resnet18_tier_b_proto_w1_kd_s43,tier_b_proto_w1_kd,43,4,20,0.7916666666666667
bimcv_resnet18_tier_b_proto_w1_kd_s43,tier_b_proto_w1_kd,43,5,15,0.9166666666666667
bimcv_resnet18_tier_b_proto_w1_kd_s43,tier_b_proto_w1_kd,43,6,14,0.9166666666666667
bimcv_resnet18_tier_b_proto_w1_kd_s43,tier_b_proto_w1_kd,43,7,18,0.7941176470588236
bimcv_resnet18_tier_b_proto_w1_kd_s43,tier_b_proto_w1_kd,43,8,17,0.6166666666666667
bimcv_resnet18_tier_b_proto_w1_kd_s43,tier_b_proto_w1_kd,43,9,21,0.5394736842105263
bimcv_resnet18_tier_b_proto_w1_kd_s44,tier_b_proto_w1_kd,44,0,15,0.7083333333333334
bimcv_resnet18_tier_b_proto_w1_kd_s44,tier_b_proto_w1_kd,44,1,10,0.8888888888888888
bimcv_resnet18_tier_b_proto_w1_kd_s44,tier_b_proto_w1_kd,44,2,12,0.3181818181818182
bimcv_resnet18_tier_b_proto_w1_kd_s44,tier_b_proto_w1_kd,44,3,13,0.3333333333333333
bimcv_resnet18_tier_b_proto_w1_kd_s44,tier_b_proto_w1_kd,44,4,20,0.75
bimcv_resnet18_tier_b_proto_w1_kd_s44,tier_b_proto_w1_kd,44,5,15,0.875
bimcv_resnet18_tier_b_proto_w1_kd_s44,tier_b_proto_w1_kd,44,6,14,0.9166666666666667
bimcv_resnet18_tier_b_proto_w1_kd_s44,tier_b_proto_w1_kd,44,7,18,0.7941176470588236
bimcv_resnet18_tier_b_proto_w1_kd_s44,tier_b_proto_w1_kd,44,8,17,0.8666666666666667
bimcv_resnet18_tier_b_proto_w1_kd_s44,tier_b_proto_w1_kd,44,9,21,0.513157894736842
bimcv_resnet18_tier_b_proto_w1_kd_s45,tier_b_proto_w1_kd,45,0,15,0.625
bimcv_resnet18_tier_b_proto_w1_kd_s45,tier_b_proto_w1_kd,45,1,10,0.8333333333333333
bimcv_resnet18_tier_b_proto_w1_kd_s45,tier_b_proto_w1_kd,45,2,12,0.3181818181818182
bimcv_resnet18_tier_b_proto_w1_kd_s45,tier_b_proto_w1_kd,45,3,13,0.8333333333333333
bimcv_resnet18_tier_b_proto_w1_kd_s45,tier_b_proto_w1_kd,45,4,20,0.6875
bimcv_resnet18_tier_b_proto_w1_kd_s45,tier_b_proto_w1_kd,45,5,15,0.875
bimcv_resnet18_tier_b_proto_w1_kd_s45,tier_b_proto_w1_kd,45,6,14,0.875
bimcv_resnet18_tier_b_proto_w1_kd_s45,tier_b_proto_w1_kd,45,7,18,0.7647058823529411
bimcv_resnet18_tier_b_proto_w1_kd_s45,tier_b_proto_w1_kd,45,8,17,0.8666666666666667
bimcv_resnet18_tier_b_proto_w1_kd_s45,tier_b_proto_w1_kd,45,9,21,0.4342105263157895
bimcv_resnet18_tier_b_proto_w2_kd_s42,tier_b_proto_w2_kd,42,0,15,0.5416666666666666
bimcv_resnet18_tier_b_proto_w2_kd_s42,tier_b_proto_w2_kd,42,1,10,0.8888888888888888
bimcv_resnet18_tier_b_proto_w2_kd_s42,tier_b_proto_w2_kd,42,2,12,0.2727272727272727
bimcv_resnet18_tier_b_proto_w2_kd_s42,tier_b_proto_w2_kd,42,3,13,0.3333333333333333
bimcv_resnet18_tier_b_proto_w2_kd_s42,tier_b_proto_w2_kd,42,4,20,0.6666666666666667
bimcv_resnet18_tier_b_proto_w2_kd_s42,tier_b_proto_w2_kd,42,5,15,0.75
bimcv_resnet18_tier_b_proto_w2_kd_s42,tier_b_proto_w2_kd,42,6,14,0.875
bimcv_resnet18_tier_b_proto_w2_kd_s42,tier_b_proto_w2_kd,42,7,18,0.7941176470588236
bimcv_resnet18_tier_b_proto_w2_kd_s42,tier_b_proto_w2_kd,42,8,17,0.8666666666666667
bimcv_resnet18_tier_b_proto_w2_kd_s42,tier_b_proto_w2_kd,42,9,21,0.48684210526315785
bimcv_resnet18_tier_b_proto_w2_kd_s43,tier_b_proto_w2_kd,43,0,15,0.8333333333333333
bimcv_resnet18_tier_b_proto_w2_kd_s43,tier_b_proto_w2_kd,43,1,10,1.0
bimcv_resnet18_tier_b_proto_w2_kd_s43,tier_b_proto_w2_kd,43,2,12,0.36363636363636365
bimcv_resnet18_tier_b_proto_w2_kd_s43,tier_b_proto_w2_kd,43,3,13,0.4166666666666667
bimcv_resnet18_tier_b_proto_w2_kd_s43,tier_b_proto_w2_kd,43,4,20,0.75
