comparison,n,delta_ba_mean,delta_ba_ci_lo,delta_ba_ci_hi,positive,zero,negative,delta_macro_f1_mean,delta_specificity_mean,decision_pass
vs_c1_resnet18_supervised_same226,15,0.0022115565593826326,-0.047584541062801924,0.04963681849551413,8,0,7,0.008020782964000328,-0.04287596461509508,False
vs_previous_bimcv_only_supervised_228,15,0.06752305665349141,0.021343873517786528,0.11192358366271403,12,0,3,0.09400858885082905,0.0903820816864295,True
