experiment,accuracy,balanced_accuracy,macro_f1,precision,recall,specificity,mcc,roc_auc,pr_auc,brier
r3090_bimcv_512_teacher_ct_s42,0.7096774193548387,0.6713398402839397,0.6156436552885352,0.32608695652173914,0.6122448979591837,0.7304347826086957,0.2773547413389509,0.6436557231588287,0.27030570435544093,0.23548385822446233
r3090_bimcv_512_teacher_ct_s43,0.6953405017921147,0.726885536823425,0.6289719479950561,0.3392857142857143,0.7755102040816326,0.6782608695652174,0.3522341979550619,0.7353149955634428,0.30482666438714967,0.2543700618721498
r3090_bimcv_512_teacher_ct_s44,0.6738351254480287,0.6897515527950311,0.602781732559413,0.3125,0.7142857142857143,0.6652173913043479,0.29458460396046143,0.6668145519077197,0.3321263999289386,0.29349045960711606
r3090_bimcv_512_xray_cross_modal_kd_s42,0.5770609318996416,0.5748447204968944,0.5072737068965517,0.224,0.5714285714285714,0.5782608695652174,0.11453487802174354,0.6413487133984028,0.27275631905774916,0.22043996808546065
r3090_bimcv_512_xray_cross_modal_kd_s43,0.7240143369175627,0.6157941437444543,0.593717495319326,0.3055555555555556,0.4489795918367347,0.782608695652174,0.20138500418476368,0.6311446317657498,0.2441756697881689,0.19262923510196933
r3090_bimcv_512_xray_cross_modal_kd_s44,0.4838709677419355,0.6066548358473824,0.46138996138996136,0.2254335260115607,0.7959183673469388,0.41739130434782606,0.16722319662370666,0.6307897071872227,0.22728056747449615,0.29148113639437045
r3090_bimcv_512_xray_supervised_s42,0.46953405017921146,0.5818988464951198,0.4464285714285714,0.2138728323699422,0.7551020408163265,0.40869565217391307,0.12840849457876977,0.6208518189884649,0.24109665993771337,0.2854236229193082
r3090_bimcv_512_xray_supervised_s43,0.5483870967741935,0.6056344276841171,0.5021808088818398,0.23448275862068965,0.6938775510204082,0.5173913043478261,0.16090184984060613,0.5987577639751553,0.2185852424276526,0.2555130529422987
r3090_bimcv_512_xray_supervised_s44,0.5197132616487455,0.6043034605146407,0.4844163724624889,0.22929936305732485,0.7346938775510204,0.47391304347826085,0.1600150861080859,0.6135758651286601,0.22486156177253455,0.2624634154137057
