name,role,seed,resample,support,balanced_accuracy
bimcv_resnet18_tier_b_full_at_kd_s44,tier_b_full_at_kd,44,3,88,0.6180555555555556
bimcv_resnet18_tier_b_full_at_kd_s44,tier_b_full_at_kd,44,4,94,0.8417721518987342
bimcv_resnet18_tier_b_full_at_kd_s44,tier_b_full_at_kd,44,5,81,0.7320772058823529
bimcv_resnet18_tier_b_full_at_kd_s44,tier_b_full_at_kd,44,6,107,0.6751633986928105
bimcv_resnet18_tier_b_full_at_kd_s44,tier_b_full_at_kd,44,7,58,0.5773809523809523
bimcv_resnet18_tier_b_full_at_kd_s44,tier_b_full_at_kd,44,8,104,0.6829721362229102
bimcv_resnet18_tier_b_full_at_kd_s44,tier_b_full_at_kd,44,9,90,0.6866666666666668
bimcv_resnet18_tier_b_full_at_kd_s45,tier_b_full_at_kd,45,0,98,0.6974358974358974
bimcv_resnet18_tier_b_full_at_kd_s45,tier_b_full_at_kd,45,1,104,0.7301136363636364
bimcv_resnet18_tier_b_full_at_kd_s45,tier_b_full_at_kd,45,2,88,0.642063492063492
bimcv_resnet18_tier_b_full_at_kd_s45,tier_b_full_at_kd,45,3,88,0.5902777777777778
bimcv_resnet18_tier_b_full_at_kd_s45,tier_b_full_at_kd,45,4,94,0.8113924050632912
bimcv_resnet18_tier_b_full_at_kd_s45,tier_b_full_at_kd,45,5,81,0.7104779411764706
bimcv_resnet18_tier_b_full_at_kd_s45,tier_b_full_at_kd,45,6,107,0.7290849673202615
bimcv_resnet18_tier_b_full_at_kd_s45,tier_b_full_at_kd,45,7,58,0.5669642857142857
bimcv_resnet18_tier_b_full_at_kd_s45,tier_b_full_at_kd,45,8,104,0.7157894736842105
bimcv_resnet18_tier_b_full_at_kd_s45,tier_b_full_at_kd,45,9,90,0.7066666666666667
bimcv_resnet18_tier_b_full_at_proto_kd_s42,tier_b_full_at_proto_kd,42,0,98,0.5685897435897436
bimcv_resnet18_tier_b_full_at_proto_kd_s42,tier_b_full_at_proto_kd,42,1,104,0.6392045454545454
bimcv_resnet18_tier_b_full_at_proto_kd_s42,tier_b_full_at_proto_kd,42,2,88,0.5277777777777778
bimcv_resnet18_tier_b_full_at_proto_kd_s42,tier_b_full_at_proto_kd,42,3,88,0.47916666666666663
bimcv_resnet18_tier_b_full_at_proto_kd_s42,tier_b_full_at_proto_kd,42,4,94,0.6962025316455696
bimcv_resnet18_tier_b_full_at_proto_kd_s42,tier_b_full_at_proto_kd,42,5,81,0.6461397058823529
bimcv_resnet18_tier_b_full_at_proto_kd_s42,tier_b_full_at_proto_kd,42,6,107,0.6601307189542484
bimcv_resnet18_tier_b_full_at_proto_kd_s42,tier_b_full_at_proto_kd,42,7,58,0.5892857142857143
bimcv_resnet18_tier_b_full_at_proto_kd_s42,tier_b_full_at_proto_kd,42,8,104,0.5597523219814242
bimcv_resnet18_tier_b_full_at_proto_kd_s42,tier_b_full_at_proto_kd,42,9,90,0.6733333333333333
bimcv_resnet18_tier_b_full_at_proto_kd_s43,tier_b_full_at_proto_kd,43,0,98,0.5506410256410257
bimcv_resnet18_tier_b_full_at_proto_kd_s43,tier_b_full_at_proto_kd,43,1,104,0.6875
bimcv_resnet18_tier_b_full_at_proto_kd_s43,tier_b_full_at_proto_kd,43,2,88,0.6547619047619048
bimcv_resnet18_tier_b_full_at_proto_kd_s43,tier_b_full_at_proto_kd,43,3,88,0.5208333333333333
bimcv_resnet18_tier_b_full_at_proto_kd_s43,tier_b_full_at_proto_kd,43,4,94,0.7244725738396625
bimcv_resnet18_tier_b_full_at_proto_kd_s43,tier_b_full_at_proto_kd,43,5,81,0.6420036764705883
bimcv_resnet18_tier_b_full_at_proto_kd_s43,tier_b_full_at_proto_kd,43,6,107,0.6790849673202615
bimcv_resnet18_tier_b_full_at_proto_kd_s43,tier_b_full_at_proto_kd,43,7,58,0.5625
bimcv_resnet18_tier_b_full_at_proto_kd_s43,tier_b_full_at_proto_kd,43,8,104,0.6068111455108359
bimcv_resnet18_tier_b_full_at_proto_kd_s43,tier_b_full_at_proto_kd,43,9,90,0.6733333333333333
