label,n,ba_mean,ba_ci_lo,ba_ci_hi,macro_f1_mean,specificity_mean,roc_auc_mean,accuracy_mean
biomedclip_ft,15,0.6332674571805007,0.6006587615283266,0.6658119235836627,0.6297687590719415,0.5960474308300394,0.6630855296390611,0.6332674571805007
c1_resnet18_supervised_mean_same226,15,0.6310559006211179,0.6073111550285463,0.65576635924462,0.621747976107941,0.6389233954451347,0.6899930986887508,0.6314151967943676
previous_bimcv_only_xray_supervised_228,15,0.5657444005270091,0.531024374176548,0.6000675230566535,0.5357601702211123,0.5056653491436099,0.6207558051732308,0.5657444005270091
