experiment,accuracy,balanced_accuracy,macro_f1,precision,recall,specificity,mcc,roc_auc,pr_auc,brier
bimcv_h800_teacher_ct_s42,0.7347670250896058,0.622315882874889,0.6023497688751926,0.3188405797101449,0.4489795918367347,0.7956521739130434,0.2157449383201738,0.6289263531499555,0.2660491369814309,0.20648051798343658
bimcv_h800_teacher_ct_s43,0.7813620071684588,0.7228482697426797,0.6819175777964677,0.4189189189189189,0.6326530612244898,0.8130434782608695,0.3841567156654099,0.6765749778172138,0.2975313199307566,0.20853738486766815
bimcv_h800_teacher_ct_s44,0.7240143369175627,0.712156166814552,0.6412624196376389,0.3541666666666667,0.6938775510204082,0.7304347826086957,0.339849356846793,0.7059449866903283,0.36556665282566886,0.21820221841335297
bimcv_h800_xray_cross_modal_kd_s42,0.7885304659498208,0.4782608695652174,0.4408817635270541,0.0,0.0,0.9565217391304348,-0.08899343743000679,0.5812777284826975,0.1986507698139489,0.15820255875587463
bimcv_h800_xray_cross_modal_kd_s43,0.8100358422939068,0.49130434782608695,0.44752475247524753,0.0,0.0,0.9826086956521739,-0.05566699407412808,0.6323868677905945,0.2342897574479917,0.1826377660036087
bimcv_h800_xray_cross_modal_kd_s44,0.7885304659498208,0.4782608695652174,0.4408817635270541,0.0,0.0,0.9565217391304348,-0.08899343743000679,0.5510204081632653,0.19400071559830714,0.17227670550346375
bimcv_h800_xray_supervised_s42,0.5734767025089605,0.6128216503992902,0.5188609521049199,0.2426470588235294,0.673469387755102,0.5521739130434783,0.171769847166067,0.6486690328305236,0.2737876272569053,0.2539857029914856
bimcv_h800_xray_supervised_s43,0.7956989247311828,0.5147293700088731,0.5037291309096583,0.25,0.08163265306122448,0.9478260869565217,0.04821012528616115,0.5795474711623779,0.20960669270088858,0.17937327921390533
bimcv_h800_xray_supervised_s44,0.7347670250896058,0.5259538598047915,0.5266415994130594,0.2222222222222222,0.20408163265306123,0.8478260869565217,0.05370067225400802,0.6203637976929902,0.23048026160452678,0.1942736953496933
