host,method,n,bal_acc_mean,bal_acc_std,roc_auc_mean,roc_auc_std,macro_f1_mean,macro_f1_std,recall_mean,specificity_mean
H800,CT teacher,3,0.6857734398107068,0.055215273389283684,0.6704821058858325,0.038869136784674296,0.6418432554364331,0.03978708435914856,0.5918367346938775,0.7797101449275362
H800,Cross-modal KD,3,0.48260869565217385,0.007530655685082032,0.5882283348121858,0.041126127757571504,0.4430960931764519,0.003835331457463149,0.0,0.9652173913043479
H800,X-ray supervised,3,0.5511682934043183,0.05368751823614827,0.6161934338952972,0.03474897872621071,0.5164105608092125,0.01165112081974931,0.31972789115646255,0.7826086956521738
R3090,CT teacher,3,0.6959923099674653,0.028293840117207775,0.6819284235433304,0.0476621169410162,0.6157991119476681,0.013095799754921408,0.7006802721088435,0.6913043478260871
R3090,Cross-modal KD,3,0.5990979000295771,0.021495215172051062,0.6344276841171251,0.005996413728082721,0.5207937212019463,0.06719179376285735,0.6054421768707483,0.5927536231884057
R3090,X-ray supervised,3,0.5972789115646259,0.01333614147938741,0.6110618160307602,0.011259535908854137,0.4776752509243001,0.028480871386877927,0.7278911564625851,0.4666666666666666
