2026-05-14T16:49:24	DONE_EVAL midrc_locked_teacher_ct_s44 rc=0
2026-05-14T16:49:24	EVAL midrc_locked_teacher_ct_s45
2026-05-14T16:49:25	DONE_EVAL midrc_locked_teacher_ct_s42 rc=0
2026-05-14T16:49:25	EVAL midrc_locked_xray_supervised_s45
2026-05-14T16:49:25	DONE_EVAL midrc_locked_teacher_ct_s43 rc=0
2026-05-14T16:49:25	EVAL midrc_locked_xray_plain_kd_s45
2026-05-14T16:49:27	DONE_EVAL midrc_locked_xray_supervised_s42 rc=0
2026-05-14T16:49:27	EVAL midrc_locked_xray_reliability_gated_kd_s45
2026-05-14T16:49:27	DONE_EVAL midrc_locked_xray_supervised_s44 rc=0
2026-05-14T16:49:27	EVAL midrc_locked_teacher_ct_s46
2026-05-14T16:49:28	DONE_EVAL midrc_locked_xray_plain_kd_s42 rc=0
2026-05-14T16:49:28	EVAL midrc_locked_xray_supervised_s46
2026-05-14T16:49:29	DONE_EVAL midrc_locked_xray_plain_kd_s44 rc=0
2026-05-14T16:49:29	EVAL midrc_locked_xray_plain_kd_s46
2026-05-14T16:49:29	DONE_EVAL midrc_locked_xray_supervised_s43 rc=0
2026-05-14T16:49:29	EVAL midrc_locked_xray_reliability_gated_kd_s46
2026-05-14T16:49:29	DONE_EVAL midrc_locked_xray_reliability_gated_kd_s44 rc=0
2026-05-14T16:49:29	EVAL midrc_locked_teacher_ct_s47
2026-05-14T16:49:29	DONE_EVAL midrc_locked_xray_plain_kd_s43 rc=0
2026-05-14T16:49:29	EVAL midrc_locked_xray_supervised_s47
2026-05-14T16:49:29	DONE_EVAL midrc_locked_xray_reliability_gated_kd_s43 rc=0
2026-05-14T16:49:29	EVAL midrc_locked_xray_plain_kd_s47
2026-05-14T16:49:29	DONE_EVAL midrc_locked_xray_reliability_gated_kd_s42 rc=0
2026-05-14T16:49:29	EVAL midrc_locked_xray_reliability_gated_kd_s47
2026-05-14T16:49:32	DONE_EVAL midrc_locked_teacher_ct_s45 rc=0
2026-05-14T16:49:38	DONE_EVAL midrc_locked_teacher_ct_s46 rc=0
