experiment_group,display_name,tier,num_resamples,accuracy_mean,accuracy_std,accuracy_q025,accuracy_q975,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_q025,balanced_accuracy_q975,macro_f1_mean,macro_f1_std,macro_f1_q025,macro_f1_q975,precision_mean,precision_std,precision_q025,precision_q975,recall_mean,recall_std,recall_q025,recall_q975,specificity_mean,specificity_std,specificity_q025,specificity_q975,mcc_mean,mcc_std,mcc_q025,mcc_q975,pr_auc_mean,pr_auc_std,pr_auc_q025,pr_auc_q975,brier_mean,brier_std,brier_q025,brier_q975,roc_auc_mean,roc_auc_std,roc_auc_q025,roc_auc_q975
student_xray_supervised_resampled,Student-only X-ray,Feasibility controls,8,0.7392857142857142,0.16297664390748032,0.5,0.8925000000000001,0.6361607142857143,0.15502324545903773,0.5,0.8618750000000001,0.523824037804301,0.11129807801800115,0.45576923076923076,0.7379464285714286,0.930952380952381,0.07602021793033466,0.8375,1.0,0.7723214285714286,0.2657416460568038,0.405,1.0,0.5,0.5345224838248488,0.0,1.0,0.2085729773871438,0.24280879913015088,0.0,0.5834696386615232,0.9334917485512724,0.06775518700052689,0.8216666666666668,1.0,0.24360181763768196,0.007427582392321293,0.2325233917683363,0.2528480812907219,0.6394841269841269,0.3168013995110728,0.23500000000000001,1.0
late_fusion_resampled,Late-fusion X-ray+CT,Feasibility controls,8,0.8851190476190476,0.07633648849153764,0.8058333333333334,1.0,0.625,0.23145502494313785,0.5,1.0,0.5937870608923241,0.2508561481603013,0.44621212121212117,1.0,0.8851190476190476,0.07633648849153764,0.8058333333333334,1.0,1.0,0.0,1.0,1.0,0.25,0.4629100498862757,0.0,1.0,0.25,0.4629100498862757,0.0,1.0,0.9464825837742504,0.09234349574641788,0.7899279100529101,1.0,0.2370401807129383,0.005715295927591038,0.23148377500474454,0.24651740975677966,0.7541666666666667,0.411322875532723,0.035,1.0
student_xray_same_modality_distill_resampled,Same-modality distillation,Feasibility controls,8,0.7611607142857143,0.20990508898066423,0.396875,0.975,0.660218253968254,0.2028521203765064,0.5,0.9854166666666667,0.5535853035853036,0.21981475644100934,0.38003663003663,0.9628787878787879,0.9196428571428572,0.08625819491779427,0.8333333333333334,1.0,0.8204365079365079,0.28999493918312896,0.3134920634920635,1.0,0.5,0.5345224838248488,0.0,1.0,0.26698508019747547,0.3718892930459219,0.0,0.9379620142643831,0.9302179390274627,0.09587452006518056,0.7458888888888888,1.0,0.24718914739787579,0.00515098979637616,0.2399875722825527,0.2540396198630333,0.6573412698412698,0.3507043088125703,0.07777777777777778,1.0
student_xray_cross_modal_plain_distill_resampled,Plain cross-modal logit KD,Feasibility controls,8,0.8486607142857143,0.030580163177794894,0.8058333333333334,0.895625,0.5,0.0,0.5,0.5,0.4589385760438392,0.008933518987139025,0.44621212121212117,0.4724561403508772,0.8486607142857143,0.030580163177794894,0.8058333333333334,0.895625,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8710595395565633,0.07709319499736579,0.7477321428571428,0.9452314814814815,0.23701034300029278,0.002128962886779832,0.2344542570412159,0.24050108902156353,0.3908730158730158,0.22453726106697255,0.035,0.595
student_xray_cross_modal_attention_transfer_resampled,Cross-modal attention transfer,Mechanism controls,8,0.8736607142857142,0.05616523956222927,0.8333333333333334,0.9825,0.5625,0.1767766952966369,0.5,0.9125000000000001,0.5283830204882836,0.19068140671194475,0.45454545454545453,0.9078947368421053,0.8736607142857142,0.05616523956222927,0.8333333333333334,0.9825,1.0,0.0,1.0,1.0,0.125,0.3535533905932738,0.0,0.8250000000000002,0.125,0.3535533905932738,0.0,0.8250000000000002,0.8934553728898966,0.08472599896312828,0.7477321428571428,0.9906867283950618,0.23828346841037273,0.004407315283494365,0.23443758934736253,0.24664400853216648,0.47837301587301584,0.2962736787474866,0.035,0.93
student_xray_cross_modal_feature_hint_resampled,Cross-modal feature hint,Mechanism controls,8,0.8486607142857143,0.030580163177794894,0.8058333333333334,0.895625,0.5,0.0,0.5,0.5,0.4589385760438392,0.008933518987139025,0.44621212121212117,0.4724561403508772,0.8486607142857143,0.030580163177794894,0.8058333333333334,0.895625,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8799881109851349,0.06176337223999337,0.8051875000000001,0.9481272045855379,0.23497003689408302,0.0012822134080981928,0.23339141383767129,0.23713300935924053,0.4084325396825397,0.18992500442707996,0.1725,0.655
student_xray_cross_modal_distill_resampled,Full JDCNet,Proposed-module test,8,0.7361607142857143,0.18818126154404188,0.396875,0.8571428571428571,0.5456349206349207,0.08712102539722279,0.5,0.7083333333333334,0.44334831834831834,0.032109137637621084,0.37896825396825395,0.46153846153846156,0.8767857142857143,0.07809845272959044,0.8058333333333334,1.0,0.8412698412698413,0.2969569354582493,0.3134920634920635,1.0,0.25,0.4629100498862757,0.0,1.0,0.06129792715148763,0.11441380705177714,0.0,0.26272469054642333,0.9302179390274627,0.09587452006518056,0.7458888888888888,1.0,0.24322699382901192,0.007953472594713865,0.23117332942783833,0.25470288619399073,0.6573412698412698,0.3507043088125703,0.07777777777777778,1.0
