experiment_group,display_name,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,roc_auc_mean,roc_auc_std,val_samples_mean,val_samples_std,macro_f1_delta_vs_baseline,accuracy_delta_vs_baseline
student_xray_cross_modal_distill,Cross-modality distillation,0.75,0.0,0.5,0.0,0.42857142857142855,0.0,0.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
student_xray_cross_modal_distill_nodpe,Cross-modality distillation w/o DPE,0.75,0.0,0.5,0.0,0.42857142857142855,0.0,0.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
student_xray_cross_modal_distill_nomhra,Cross-modality distillation w/o MHRA,0.8125,0.125,0.625,0.25,0.5714285714285714,0.28571428571428575,0.8125,0.125,1.0,0.0,0.25,0.5,1.0,0.0,4.0,0.0,0.14285714285714285,0.0625
student_xray_cross_modal_distill_nodfpn,Cross-modality distillation w/o DFPN,0.75,0.0,0.5,0.0,0.42857142857142855,0.0,0.75,0.0,1.0,0.0,0.0,0.0,0.75,0.5,4.0,0.0,0.0,0.0
