experiment_group,display_name,seed,accuracy,balanced_accuracy,macro_f1,recall,specificity,positive_prediction_rate,threshold
student_xray_supervised_paired_balanced,Student-only + balanced sampler,43,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_supervised_paired_balanced,Student-only + balanced sampler,43,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_supervised_paired_balanced,Student-only + balanced sampler,43,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_supervised_paired_balanced,Student-only + balanced sampler,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_supervised_paired_balanced,Student-only + balanced sampler,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_supervised_paired_balanced,Student-only + balanced sampler,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_supervised_paired_balanced,Student-only + balanced sampler,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_supervised_paired_balanced,Student-only + balanced sampler,44,1.0,1.0,1.0,1.0,1.0,0.75,0.5
student_xray_supervised_paired_balanced,Student-only + balanced sampler,44,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_supervised_paired_balanced,Student-only + balanced sampler,44,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_supervised_paired_balanced,Student-only + balanced sampler,44,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_supervised_paired_balanced,Student-only + balanced sampler,44,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_supervised_paired_balanced,Student-only + balanced sampler,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_supervised_paired_balanced,Student-only + balanced sampler,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_supervised_paired_balanced,Student-only + balanced sampler,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_supervised_paired_balanced,Student-only + balanced sampler,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_supervised_paired_balanced,Student-only + balanced sampler,45,1.0,1.0,1.0,1.0,1.0,0.75,0.5
student_xray_supervised_paired_balanced,Student-only + balanced sampler,45,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_supervised_paired_balanced,Student-only + balanced sampler,45,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_supervised_paired_balanced,Student-only + balanced sampler,45,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_supervised_paired_balanced,Student-only + balanced sampler,45,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_cross_modal_plain_distill,Plain cross-modal KD,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_cross_modal_plain_distill,Plain cross-modal KD,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_cross_modal_plain_distill,Plain cross-modal KD,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_cross_modal_plain_distill,Plain cross-modal KD,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_cross_modal_plain_distill,Plain cross-modal KD,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.5
student_xray_cross_modal_plain_distill,Plain cross-modal KD,42,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_cross_modal_plain_distill,Plain cross-modal KD,42,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_cross_modal_plain_distill,Plain cross-modal KD,42,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_cross_modal_plain_distill,Plain cross-modal KD,42,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_cross_modal_plain_distill,Plain cross-modal KD,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_cross_modal_plain_distill,Plain cross-modal KD,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_cross_modal_plain_distill,Plain cross-modal KD,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_cross_modal_plain_distill,Plain cross-modal KD,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_cross_modal_plain_distill,Plain cross-modal KD,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.5
student_xray_cross_modal_plain_distill,Plain cross-modal KD,43,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_cross_modal_plain_distill,Plain cross-modal KD,43,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_cross_modal_plain_distill,Plain cross-modal KD,43,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_cross_modal_plain_distill,Plain cross-modal KD,43,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_cross_modal_plain_distill,Plain cross-modal KD,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_cross_modal_plain_distill,Plain cross-modal KD,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_cross_modal_plain_distill,Plain cross-modal KD,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_cross_modal_plain_distill,Plain cross-modal KD,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_cross_modal_plain_distill,Plain cross-modal KD,44,1.0,1.0,1.0,1.0,1.0,0.75,0.5
student_xray_cross_modal_plain_distill,Plain cross-modal KD,44,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_cross_modal_plain_distill,Plain cross-modal KD,44,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_cross_modal_plain_distill,Plain cross-modal KD,44,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_cross_modal_plain_distill,Plain cross-modal KD,44,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_cross_modal_plain_distill,Plain cross-modal KD,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_cross_modal_plain_distill,Plain cross-modal KD,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_cross_modal_plain_distill,Plain cross-modal KD,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_cross_modal_plain_distill,Plain cross-modal KD,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_cross_modal_plain_distill,Plain cross-modal KD,45,1.0,1.0,1.0,1.0,1.0,0.75,0.5
student_xray_cross_modal_plain_distill,Plain cross-modal KD,45,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_cross_modal_plain_distill,Plain cross-modal KD,45,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_cross_modal_plain_distill,Plain cross-modal KD,45,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_cross_modal_plain_distill,Plain cross-modal KD,45,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.5
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,42,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,42,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,42,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,42,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.5
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,43,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,43,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,43,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,43,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.5
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,44,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,44,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,44,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,44,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,45,1.0,1.0,1.0,1.0,1.0,0.75,0.5
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,45,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,45,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,45,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_cross_modal_plain_distill_balanced,Plain cross-modal KD + balanced sampler,45,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_cross_modal_distill,Full JDCNet,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_cross_modal_distill,Full JDCNet,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_cross_modal_distill,Full JDCNet,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_cross_modal_distill,Full JDCNet,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_cross_modal_distill,Full JDCNet,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.5
student_xray_cross_modal_distill,Full JDCNet,42,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_cross_modal_distill,Full JDCNet,42,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_cross_modal_distill,Full JDCNet,42,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_cross_modal_distill,Full JDCNet,42,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_cross_modal_distill,Full JDCNet,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_cross_modal_distill,Full JDCNet,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_cross_modal_distill,Full JDCNet,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_cross_modal_distill,Full JDCNet,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_cross_modal_distill,Full JDCNet,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.5
student_xray_cross_modal_distill,Full JDCNet,43,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_cross_modal_distill,Full JDCNet,43,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_cross_modal_distill,Full JDCNet,43,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_cross_modal_distill,Full JDCNet,43,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_cross_modal_distill,Full JDCNet,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_cross_modal_distill,Full JDCNet,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_cross_modal_distill,Full JDCNet,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_cross_modal_distill,Full JDCNet,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_cross_modal_distill,Full JDCNet,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.5
student_xray_cross_modal_distill,Full JDCNet,44,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_cross_modal_distill,Full JDCNet,44,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_cross_modal_distill,Full JDCNet,44,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_cross_modal_distill,Full JDCNet,44,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_cross_modal_distill,Full JDCNet,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_cross_modal_distill,Full JDCNet,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_cross_modal_distill,Full JDCNet,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_cross_modal_distill,Full JDCNet,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_cross_modal_distill,Full JDCNet,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.5
student_xray_cross_modal_distill,Full JDCNet,45,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_cross_modal_distill,Full JDCNet,45,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_cross_modal_distill,Full JDCNet,45,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_cross_modal_distill,Full JDCNet,45,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.5
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,42,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,42,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,42,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,42,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.5
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,43,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,43,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,43,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,43,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,44,0.25,0.5,0.2,0.0,1.0,0.0,0.5
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,44,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,44,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,44,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,44,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.5
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,45,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,45,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,45,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_cross_modal_distill_balanced,Full JDCNet + balanced sampler,45,0.25,0.5,0.2,0.0,1.0,0.0,0.9
