experiment_group,display_name,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,roc_auc_mean,roc_auc_std,val_samples_mean,val_samples_std
teacher_xray_all,Teacher-only X-ray (all patients),0.7080645161290322,0.016129032258064547,0.6701037670038368,0.04027792009478917,0.6681716196495308,0.04812717442210651,0.7248337740223916,0.042313641714719144,0.848404255319149,0.07787301863828987,0.4918032786885246,0.1572403778135318,0.7396668991977677,0.01879480812743359,155.0,0.0
teacher_ct_all,Teacher-only CT (all patients),0.9791666666666666,0.04166666666666669,0.9791666666666666,0.04166666666666669,0.8695652173913043,0.2608695652173913,1.0,0.0,0.9791666666666666,0.04166666666666669,0.0,0.0,,,12.0,0.0
student_xray_supervised_paired,Student-only X-ray (paired cohort),0.75,0.0,0.5,0.0,0.42857142857142855,0.0,0.75,0.0,1.0,0.0,0.0,0.0,0.8333333333333333,0.3333333333333333,4.0,0.0
student_xray_same_modality_distill,Same-modality distillation,0.75,0.0,0.5,0.0,0.42857142857142855,0.0,0.75,0.0,1.0,0.0,0.0,0.0,0.8333333333333333,0.3333333333333333,4.0,0.0
student_xray_cross_modal_distill,Cross-modality distillation,0.875,0.14433756729740643,0.75,0.28867513459481287,0.7142857142857143,0.32991443953692895,0.875,0.14433756729740643,1.0,0.0,0.5,0.5773502691896257,1.0,0.0,4.0,0.0
