variant,method,tau,n,ba_mean,ba_ci_lo,ba_ci_hi,macro_f1_mean,specificity_mean,roc_auc_mean,accuracy_mean
3slice,supervised,-,15,0.6246957605777088,0.5985371371599874,0.6477984856823603,0.567506996221887,0.6202742616033756,0.6741810301696103,0.6218656760022089
3slice,contrastive,0.07,15,0.6273800887243375,0.5942143341088374,0.6572671272785645,0.5569638283048897,0.5716244725738397,0.6735671311352379,0.5963994800393803
3slice,contrastive,0.20,15,0.6326546838778538,0.6095090360817864,0.6556474291622887,0.5769454404666903,0.6230168776371308,0.6606833400043362,0.6273901005177617
mid,supervised,-,15,0.6246957605777088,0.5985371371599874,0.6477984856823603,0.567506996221887,0.6202742616033756,0.6741810301696103,0.6218656760022089
mid,contrastive,0.07,15,0.6163368689648272,0.5896251292506796,0.6420415566993546,0.5662087530238813,0.6322784810126583,0.6526375268924802,0.6254227193136218
mid,contrastive,0.20,15,0.6195580877570421,0.5943034977943997,0.6433780811694269,0.5593300364622872,0.6019620253164556,0.6791653533129868,0.6097098059320494
