variant	method	tau	fold	seed	ba	specificity	roc_auc
proj	supervised	-	0	42	0.6481	0.6875	0.6853
proj	supervised	-	0	43	0.6353	0.5750	0.6940
proj	supervised	-	0	44	0.6446	0.5500	0.6908
proj	supervised	-	1	42	0.6361	0.8375	0.6834
proj	supervised	-	1	43	0.6946	0.6500	0.7242
proj	supervised	-	1	44	0.6636	0.6750	0.7383
proj	supervised	-	2	42	0.6299	0.6076	0.6092
proj	supervised	-	2	43	0.5355	0.8101	0.5878
proj	supervised	-	2	44	0.6461	0.6835	0.6709
proj	supervised	-	3	42	0.6752	0.7595	0.7020
proj	supervised	-	3	43	0.6484	0.5696	0.6410
proj	supervised	-	3	44	0.6395	0.5063	0.7549
proj	supervised	-	4	42	0.5285	0.5570	0.6738
proj	supervised	-	4	43	0.5978	0.4684	0.6565
proj	supervised	-	4	44	0.5472	0.3671	0.6007
