variant,tau,comparison,n,delta_ba_mean,delta_ba_ci_lo,delta_ba_ci_hi,positive,zero,negative,delta_macro_f1_mean,delta_specificity_mean,decision_pass
3slice,0.07,contrastive_vs_supervised,15,0.0026843281466286304,-0.02255073766698353,0.029555417271226295,7,0,8,-0.010543167916997501,-0.04864978902953587,False
3slice,0.20,contrastive_vs_supervised,15,0.007958923300145092,-0.020076658161138086,0.03711031284918528,7,1,7,0.00943844424480309,0.0027426160337552705,False
mid,0.07,contrastive_vs_supervised,15,-0.008358891612881718,-0.03837701589366421,0.0268306555511082,5,0,10,-0.0012982431980058033,0.012004219409282682,False
mid,0.20,contrastive_vs_supervised,15,-0.00513767282066678,-0.030466450588716,0.019953210732809652,5,0,10,-0.008176959759599959,-0.01831223628691984,False
